"ComputerName";"Connection";"DaysFromUptime";"DateFromLastBootTime";"HourFromLastBootTime";"Name";"Enabled";"State";"Action";"Action_Arguments";"Trigger";"TriggerTypeOfSchedule";"Repetition";"TriggerDayOfWeek";"TriggerDayOfMonth";"LastRunTime";"NextRunTime";"LastTaskResult";"NumberOfMissedRuns";"UserId";"Author";"Path";"Description"
"XA-PVS-NI01";"Ok";"1";"09/09/2018";"05:46:41";"At4";"True";"Ready";"C:\Program Files\FusionInventory-Agent\fusioninventory-agent.bat";"--force";"TimeTrigger";"";"";;;"20/10/2017 09:16:59";"30/12/1899 00:00:00";"0";"1";"@AtServiceAccount";;"\At4";
"XA-PVS-NI01";"Ok";"1";"09/09/2018";"05:46:41";"User_Feed_Synchronization-{10B035D2-08AB-452B-B173-7F130815AD81}";"True";"Ready";"C:\Windows\system32\msfeedssync.exe";"sync";"CalendarTrigger";"ScheduleByDay";"Tous les 1 Jours";;;"30/11/1999 00:00:00";"10/09/2018 14:02:53";"0";"0";"BERNARD\nivemaga";"BERNARD\nivemaga";"\User_Feed_Synchronization-{10B035D2-08AB-452B-B173-7F130815AD81}";"Met à jour les flux système obsolètes."
"XA-PVS-PG01";"Ok";"1";"09/09/2018";"06:05:16";"Adobe Acrobat Update Task";"True";"Ready";"C:\Program Files (x86)\Common Files\Adobe\ARM\1.0\AdobeARM.exe";;"CalendarTrigger LogonTrigger";"ScheduleByDay";"Tous les 1 Jours";;;"10/09/2018 09:02:05";"11/09/2018 07:00:00";"0";"0";;"Adobe Systems Incorporated";"\Adobe Acrobat Update Task";"This task keeps your Adobe Reader and Acrobat applications up to date with the latest enhancements and security fixes"
"XA-PVS-PG01";"Ok";"1";"09/09/2018";"06:05:16";"Desactiveicones";"True";"Ready";"regedit";"/s c:\Tools\icon.reg";"BootTrigger";"";"";;;"24/06/2016 10:47:07";"30/12/1899 00:00:00";"0";"0";"BERNARD\apx";"BERNARD\apx";"\Desactiveicones";
"XA-PVS-PG01";"Ok";"1";"09/09/2018";"06:05:16";"Descativationiconepvs";"True";"Ready";"regedit";"/s c:\Tools\iconpvs.reg";"TimeTrigger";"";"";;;"21/06/2016 13:59:31";"30/12/1899 00:00:00";"0";"0";"BERNARD\apx";"BERNARD\apx";"\Descativationiconepvs";
"XA-PVS-PG01";"Ok";"1";"09/09/2018";"06:05:16";"Optimize Start Menu Cache Files-S-1-5-21-2126451634-1489844936-1524247972-12641";"True";"Ready";"";"";"IdleTrigger";"";"";;;"30/11/1999 00:00:00";"30/12/1899 00:00:00";"0";"0";"S-1-5-21-2126451634-1489844936-1524247972-12641";"$(@%SystemRoot%\system32\twinapi.dll,-8001)";"\Optimize Start Menu Cache Files-S-1-5-21-2126451634-1489844936-1524247972-12641";"$(@%SystemRoot%\system32\twinapi.dll,-8002)"
"XA-PVS-PG01";"Ok";"1";"09/09/2018";"06:05:16";"Optimize Start Menu Cache Files-S-1-5-21-2126451634-1489844936-1524247972-12735";"True";"Ready";"";"";"IdleTrigger";"";"";;;"30/11/1999 00:00:00";"30/12/1899 00:00:00";"0";"0";"S-1-5-21-2126451634-1489844936-1524247972-12735";"$(@%SystemRoot%\system32\twinapi.dll,-8001)";"\Optimize Start Menu Cache Files-S-1-5-21-2126451634-1489844936-1524247972-12735";"$(@%SystemRoot%\system32\twinapi.dll,-8002)"
"XA-PVS-PG01";"Ok";"1";"09/09/2018";"06:05:16";"Optimize Start Menu Cache Files-S-1-5-21-2126451634-1489844936-1524247972-1680";"True";"Ready";"";"";"IdleTrigger";"";"";;;"30/11/1999 00:00:00";"30/12/1899 00:00:00";"0";"0";"S-1-5-21-2126451634-1489844936-1524247972-1680";"$(@%SystemRoot%\system32\twinapi.dll,-8001)";"\Optimize Start Menu Cache Files-S-1-5-21-2126451634-1489844936-1524247972-1680";"$(@%SystemRoot%\system32\twinapi.dll,-8002)"
"XA-PVS-PG01";"Ok";"1";"09/09/2018";"06:05:16";"Optimize Start Menu Cache Files-S-1-5-21-2126451634-1489844936-1524247972-17981";"True";"Ready";"";"";"IdleTrigger";"";"";;;"30/11/1999 00:00:00";"30/12/1899 00:00:00";"0";"0";"S-1-5-21-2126451634-1489844936-1524247972-17981";"$(@%SystemRoot%\system32\twinapi.dll,-8001)";"\Optimize Start Menu Cache Files-S-1-5-21-2126451634-1489844936-1524247972-17981";"$(@%SystemRoot%\system32\twinapi.dll,-8002)"
"XA-PVS-PG01";"Ok";"1";"09/09/2018";"06:05:16";"Optimize Start Menu Cache Files-S-1-5-21-2126451634-1489844936-1524247972-22175";"True";"Ready";"";"";"IdleTrigger";"";"";;;"30/11/1999 00:00:00";"30/12/1899 00:00:00";"0";"0";"S-1-5-21-2126451634-1489844936-1524247972-22175";"$(@%SystemRoot%\system32\twinapi.dll,-8001)";"\Optimize Start Menu Cache Files-S-1-5-21-2126451634-1489844936-1524247972-22175";"$(@%SystemRoot%\system32\twinapi.dll,-8002)"
